company,contact_name,contact_email,segment,channel,email_variant,priority,personalization_hook,profile_url,date_sent,follow_up_date,status,notes
ClearPath MSP,General inbox,ContactUs@ClearPathMSP.com,Proxmox MSP,Proxmox Silver Partner directory,A,P1,Proxmox VE enterprise HA clusters + ongoing environment management,https://www.clearpathmsp.com/proxmox,,,lead,US MSP; phone +1-512-481-4017
partimus GmbH,General inbox,info@partimus.com,Proxmox MSP,Proxmox Gold Partner directory,A,P1,Proxmox Gold + Hosting Partner; ISO 27001 private cloud Limburg,https://partimus.com/en/partners-memberships/,,,lead,EU MSP; primeLine Group
DG-i,Dembach Goo Informatik (Mike Liebsch MD),info@dg-i.net,Proxmox MSP,Proxmox Silver Partner directory,A,P1,Certified private cloud Proxmox VE; geo-redundant Düsseldorf/Frankfurt,https://dg-i.net/en/hosting/private-cloud/,,,lead,Audit-ready enterprise hosting DE
DynFi,Proxmox sales team,via: https://dynfi.com/en/you-and-us/contact-us/,Proxmox MSP,Proxmox Gold Partner France,A,P1,First Proxmox Gold Partner in France; proxmox-offline-mirror tooling,https://dynfi.com/en/articles/dynfi-gold-partner-proxmox/,,,lead,Use contact form — no public email found
credativ GmbH,Proxmox team,via: https://www.credativ.de/en/contact-proxmox/,Proxmox MSP,credativ Proxmox page,A,P1,Proxmox VE/BSP/MG consulting + operations support DE,https://www.credativ.de/en/contact-proxmox/,,,lead,Phone +49 2161 917 42 00
Starline Computer GmbH,General inbox,info@starline.de,Proxmox MSP,Proxmox Silver Partner directory,A,P2,Proxmox Silver Partner; storage/server integrator Kirchheim,https://www.starline.de/en/magazine/news/starline-is-now-also-a-proxmox-silver-partner,,,lead,DE; +49 7021-487 200
InfoGuard AG,CSIRT / IR team,info@infoguard.de,DFIR,Velociraptor blog (VHDX automation),B,P1,Velociraptor VHDX forensics at scale — 1000+ profiles/min,https://www.infoguard.ch/en/blog/dfir-velociraptor-scans-vhdx,,,lead,Also info@infoguard.ch; 350+ employees
InfoGuard AG,Yann Malherbe,via: https://www.linkedin.com/search/results/people/?keywords=Yann%20Malherbe%20InfoGuard,DFIR,Author of Velociraptor VHDX post,B,P1,Your Nov 2025 VHDX + Velociraptor automation article,https://www.infoguard.ch/en/blog/dfir-velociraptor-scans-vhdx,,,lead,Find LinkedIn profile; DFIR preset partner
SEC Consult,SEC Defence IR,via: https://sec-consult.com/contact/,DFIR,Velociraptor Artifact Exchange,B,P1,Published TrackNetworkConnections Velociraptor artifacts Aug 2024,https://sec-consult.com/blog/detail/enhancing-network-security-monitoring-client-communication-with-velociraptor/,,,lead,Managed IR unit; DACH focus
SEC Consult,Herbert Bärschneider,via: https://de.linkedin.com/in/herbert-b%C3%A4rschneider-733924272,DFIR,Velociraptor blog author,B,P1,Your network connection monitoring Velociraptor artifacts,https://sec-consult.com/blog/detail/enhancing-network-security-monitoring-client-communication-with-velociraptor/,,,lead,Forensic analyst SEC Defence; LinkedIn DM
BPG Labs,Pavel Boldyrev (@bpg-dev),via: https://github.com/bpg-dev,Technical partner,terraform-provider-proxmox maintainer,A,P2,Maintainer of bpg/proxmox Terraform provider (1.7k★),https://github.com/bpg/terraform-provider-proxmox,,,lead,Adapter/integration partner; GitHub discussion
proxmoxer project,Oleg Butovich (swayf),via: https://github.com/swayf,Technical partner,proxmoxer Python wrapper maintainer,A,P2,proxmoxer is the Python API layer Dedalus Converger builds on,https://github.com/proxmoxer/proxmoxer,,,lead,GitHub issue or discussion to open
Lawrence Systems,Tom Lawrence,via: https://lawrencesystems.com/hire-us/,Influencer / MSP,YouTube + forums,A,P3,Proxmox/homelab content + MSP consulting practice,https://www.youtube.com/@LAWRENCESYSTEMS,,,lead,Use hire-us form; @TomLawrenceTech for DM
Faycal Said,Faycal Said,via: https://github.com/faycalsaid,Homelab-pro,GitHub homelab-terraform-proxmox-ansible,A,P3,homelab-terraform-proxmox-ansible repo,https://github.com/faycalsaid/homelab-terraform-proxmox-ansible,,,lead,Technical beta; GitHub issue
Brian Marsh (pezhore),Brian Marsh,via: https://github.com/pezhore,Homelab-pro,GitHub Proxmox-Home-Lab,A,P3,Proxmox-Home-Lab automation patterns,https://github.com/pezhore/Proxmox-Home-Lab,,,lead,Technical beta; GitHub issue
Cyber Triage,Brian Carrier / team,via: https://www.cybertriage.com/contact/,DFIR tooling,Velociraptor integration partner,B,P2,Existing Velociraptor integration — reconciliation layer fit?,https://www.cybertriage.com/integration/velociraptor/,,,lead,DFIR tool vendor; contact form
